Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X3.txt,3.48968,1.3769,1.16826,17,Absoluto,0.001,51,140
data/X3.txt,3.50501,1.38068,1.16289,14,Absoluto,0.01,51,110
data/X3.txt,3.12601,1.29004,1.30406,10,Absoluto,0.1,51,70
data/X3.txt,3.48968,1.3769,1.16826,17,Relativo,0.001,51,140
data/X3.txt,3.48046,1.37463,1.1715,13,Relativo,0.01,51,100
data/X3.txt,3.12601,1.29004,1.30406,10,Relativo,0.1,51,70
data/X3.txt,3.47805,1.37388,1.17146,17,Absoluto,0.001,20,1430
data/X3.txt,3.45654,1.36859,1.17904,14,Absoluto,0.01,20,1090
data/X3.txt,3.12698,1.29004,1.3026,10,Absoluto,0.1,20,740
data/X3.txt,3.47805,1.37388,1.17146,17,Relativo,0.001,20,1340
data/X3.txt,3.48112,1.37463,1.17037,13,Relativo,0.01,20,980
data/X3.txt,3.12698,1.29004,1.3026,10,Relativo,0.1,20,750
data/X3.txt,16.3164,99.9922,0.00528336,20,Absoluto,0.001,13,1980
data/X3.txt,16.3164,99.9922,0.00528336,14,Absoluto,0.01,13,1280
data/X3.txt,16.3164,99.8984,0.00528908,10,Absoluto,0.1,13,890
data/X3.txt,16.3164,99.8984,0.00528908,10,Relativo,0.001,13,990
data/X3.txt,16.3105,99.2266,0.00532389,7,Relativo,0.01,13,690
data/X3.txt,16.2734,93.8125,0.00563192,4,Relativo,0.1,13,370
