Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X1.txt,2.43164,3.82259,2.15667,17,Absoluto,0.001,51,330
data/X1.txt,2.43129,3.82184,2.15744,14,Absoluto,0.01,51,260
data/X1.txt,2.42285,3.80371,2.17601,10,Absoluto,0.1,51,170
data/X1.txt,2.43269,3.82486,2.15437,15,Relativo,0.001,51,290
data/X1.txt,2.43408,3.82788,2.15131,12,Relativo,0.01,51,210
data/X1.txt,2.46703,3.90039,2.07983,9,Relativo,0.1,51,150
data/X1.txt,2.43164,3.82259,2.15664,17,Absoluto,0.001,30,2330
data/X1.txt,2.43129,3.82184,2.15741,14,Absoluto,0.01,30,1920
data/X1.txt,2.42285,3.80371,2.17598,10,Absoluto,0.1,30,1330
data/X1.txt,2.43269,3.82486,2.15434,15,Relativo,0.001,30,2030
data/X1.txt,2.43409,3.82788,2.15128,12,Relativo,0.01,30,1630
data/X1.txt,2.46704,3.90039,2.0798,9,Relativo,0.1,30,1180
data/X1.txt,4.63281,99.9375,0.00733185,100,Absoluto,0.001,10,26210
data/X1.txt,4.63281,99.9375,0.00733185,100,Absoluto,0.01,10,26260
data/X1.txt,4.63281,99.9375,0.00733185,11,Absoluto,0.1,10,2610
data/X1.txt,4.63281,99.9375,0.00733185,11,Relativo,0.001,10,2590
data/X1.txt,4.63281,99.1875,0.00737762,7,Relativo,0.01,10,1560
data/X1.txt,4.62109,93.8125,0.00779724,4,Relativo,0.1,10,770
data/X2.txt,1.00704,4.12925,0.488572,17,Absoluto,0.001,51,160
data/X2.txt,1.00658,4.12396,0.489487,14,Absoluto,0.01,51,130
data/X2.txt,1.0123,4.19043,0.478203,10,Absoluto,0.1,51,90
data/X2.txt,1.00684,4.12698,0.488964,15,Relativo,0.001,51,140
data/X2.txt,1.00605,4.11792,0.490536,12,Relativo,0.01,51,100
data/X2.txt,1.03523,4.48047,0.433895,8,Relativo,0.1,51,70
data/X2.txt,1.00704,4.12925,0.488573,17,Absoluto,0.001,30,1170
data/X2.txt,1.00658,4.12396,0.489487,14,Absoluto,0.01,30,960
data/X2.txt,1.0123,4.19043,0.478203,10,Absoluto,0.1,30,660
data/X2.txt,1.00684,4.12698,0.488964,15,Relativo,0.001,30,1040
data/X2.txt,1.00605,4.11792,0.490536,12,Relativo,0.01,30,800
data/X2.txt,1.03523,4.48047,0.433896,8,Relativo,0.1,30,520
data/X2.txt,1.68066,99.9375,0.0130463,100,Absoluto,0.001,10,13400
data/X2.txt,1.68066,99.9375,0.0130463,100,Absoluto,0.01,10,13210
data/X2.txt,1.68066,99.9375,0.0130463,11,Absoluto,0.1,10,1330
data/X2.txt,1.68066,99.9375,0.0130463,11,Relativo,0.001,10,1330
data/X2.txt,1.67969,99.1875,0.0131454,7,Relativo,0.01,10,790
data/X2.txt,1.6748,93.8125,0.0139008,4,Relativo,0.1,10,390
data/X3.txt,3.48968,1.3769,1.16826,17,Absoluto,0.001,51,130
data/X3.txt,3.50501,1.38068,1.16289,14,Absoluto,0.01,51,100
data/X3.txt,3.12601,1.29004,1.30406,10,Absoluto,0.1,51,60
data/X3.txt,3.48968,1.3769,1.16826,17,Relativo,0.001,51,130
data/X3.txt,3.48046,1.37463,1.1715,13,Relativo,0.01,51,90
data/X3.txt,3.12601,1.29004,1.30406,10,Relativo,0.1,51,60
data/X3.txt,3.48968,1.3769,1.16826,17,Absoluto,0.001,30,950
data/X3.txt,3.50501,1.38068,1.16289,14,Absoluto,0.01,30,770
data/X3.txt,3.12601,1.29004,1.30406,10,Absoluto,0.1,30,530
data/X3.txt,3.48968,1.3769,1.16826,17,Relativo,0.001,30,930
data/X3.txt,3.48046,1.37463,1.1715,13,Relativo,0.01,30,710
data/X3.txt,3.12601,1.29004,1.30406,10,Relativo,0.1,30,530
data/X3.txt,16.3281,99.9375,0.00432968,100,Absoluto,0.001,10,10550
data/X3.txt,16.3281,99.9375,0.00432968,100,Absoluto,0.01,10,10520
data/X3.txt,16.3281,99.9375,0.00432968,11,Absoluto,0.1,10,1060
data/X3.txt,16.3281,99.9375,0.00432968,11,Relativo,0.001,10,1040
data/X3.txt,16.3281,99.1875,0.00436783,7,Relativo,0.01,10,620
data/X3.txt,16.2969,93.8125,0.00461578,4,Relativo,0.1,10,320
data/X4.txt,2.24138,3.01441,1.85508,17,Absoluto,0.001,51,70
data/X4.txt,2.2399,3.01215,1.85756,14,Absoluto,0.01,51,50
data/X4.txt,2.25166,3.03027,1.83788,10,Absoluto,0.1,51,40
data/X4.txt,2.24089,3.01366,1.85591,16,Relativo,0.001,51,60
data/X4.txt,2.23596,3.0061,1.8642,12,Relativo,0.01,51,40
data/X4.txt,2.3124,3.12695,1.73837,9,Relativo,0.1,51,30
data/X4.txt,2.24138,3.01441,1.85508,17,Absoluto,0.001,30,470
data/X4.txt,2.2399,3.01215,1.85756,14,Absoluto,0.01,30,380
