Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X6.txt,3.106,5.37172,1.76411,6,Absoluto,0.001,51,110
data/X6.txt,3.106,5.37172,1.76411,5,Absoluto,0.01,51,90
data/X6.txt,3.10637,5.37307,1.76333,4,Absoluto,0.1,51,70
data/X6.txt,3.106,5.37172,1.76411,5,Relativo,0.001,51,90
data/X6.txt,3.106,5.37172,1.76411,5,Relativo,0.01,51,90
data/X6.txt,3.12342,5.43493,1.72803,3,Relativo,0.1,51,50
data/X6.txt,3.10605,5.37189,1.764,6,Absoluto,0.001,30,670
data/X6.txt,3.10605,5.37189,1.764,5,Absoluto,0.01,30,560
data/X6.txt,3.10642,5.37322,1.76323,4,Absoluto,0.1,30,450
data/X6.txt,3.10605,5.37189,1.764,5,Relativo,0.001,30,570
data/X6.txt,3.10605,5.37189,1.764,5,Relativo,0.01,30,560
data/X6.txt,3.12346,5.43507,1.72794,3,Relativo,0.1,30,340
data/X6.txt,nan,-nan,nan,5,Absoluto,0.001,10,990
data/X6.txt,nan,-nan,nan,5,Absoluto,0.01,10,990
data/X6.txt,nan,-nan,nan,5,Absoluto,0.1,10,1000
data/X6.txt,nan,-nan,nan,5,Relativo,0.001,10,1000
data/X6.txt,nan,-nan,nan,5,Relativo,0.01,10,1010
data/X6.txt,nan,-nan,nan,5,Relativo,0.1,10,1020
