Muestra,Sigma,Beta,Lambda,Iteraciones,CritParada,CotaError,BitsMantisa,Tiempo
data/X1.txt,2.43129,3.82185,2.15743,6,Absoluto,0.001,51,220
data/X1.txt,2.43129,3.82185,2.15743,6,Absoluto,0.01,51,210
data/X1.txt,2.43163,3.82257,2.1567,5,Absoluto,0.1,51,180
data/X1.txt,2.43129,3.82185,2.15743,6,Relativo,0.001,51,220
data/X1.txt,2.43163,3.82257,2.1567,5,Relativo,0.01,51,180
data/X1.txt,2.44843,3.85914,2.12002,4,Relativo,0.1,51,150
data/X1.txt,2.43138,3.82201,2.15723,6,Absoluto,0.001,30,1350
data/X1.txt,2.43138,3.82201,2.15723,6,Absoluto,0.01,30,1350
data/X1.txt,2.43171,3.82274,2.1565,5,Absoluto,0.1,30,1120
data/X1.txt,2.43138,3.82201,2.15723,6,Relativo,0.001,30,1340
data/X1.txt,2.43171,3.82274,2.1565,5,Relativo,0.01,30,1140
data/X1.txt,2.44852,3.85932,2.11981,4,Relativo,0.1,30,890
data/X1.txt,nan,-nan,nan,100,Absoluto,0.001,10,39040
data/X1.txt,nan,-nan,nan,100,Absoluto,0.01,10,39050
data/X1.txt,nan,-nan,nan,100,Absoluto,0.1,10,39030
data/X1.txt,nan,-nan,nan,100,Relativo,0.001,10,39410
data/X1.txt,nan,-nan,nan,100,Relativo,0.01,10,38990
data/X1.txt,nan,-nan,nan,100,Relativo,0.1,10,39000
data/X2.txt,1.00707,4.12956,0.488519,5,Absoluto,0.001,51,90
data/X2.txt,1.00707,4.12956,0.488519,5,Absoluto,0.01,51,90
data/X2.txt,1.00708,4.12975,0.488487,4,Absoluto,0.1,51,70
data/X2.txt,1.00707,4.12956,0.488519,5,Relativo,0.001,51,90
data/X2.txt,1.00708,4.12975,0.488487,4,Relativo,0.01,51,70
data/X2.txt,1.00939,4.15638,0.483926,3,Relativo,0.1,51,50
data/X2.txt,1.00706,4.12954,0.488522,5,Absoluto,0.001,30,560
data/X2.txt,1.00706,4.12954,0.488522,5,Absoluto,0.01,30,560
data/X2.txt,1.00708,4.12973,0.48849,4,Absoluto,0.1,30,450
data/X2.txt,1.00706,4.12954,0.488522,5,Relativo,0.001,30,570
data/X2.txt,1.00708,4.12973,0.48849,4,Relativo,0.01,30,450
data/X2.txt,1.00939,4.15637,0.483929,3,Relativo,0.1,30,330
data/X2.txt,nan,-nan,nan,100,Absoluto,0.001,10,19370
data/X2.txt,nan,-nan,nan,100,Absoluto,0.01,10,19560
data/X2.txt,nan,-nan,nan,100,Absoluto,0.1,10,20130
data/X2.txt,nan,-nan,nan,100,Relativo,0.001,10,19690
data/X2.txt,nan,-nan,nan,100,Relativo,0.01,10,19290
data/X2.txt,nan,-nan,nan,100,Relativo,0.1,10,19630
data/X3.txt,inf,-0.00170667,493431,16,Absoluto,0.001,51,230
data/X3.txt,5.78676e+188,-0.0190788,3917.9,10,Absoluto,0.01,51,140
data/X3.txt,274817,-0.255614,19.4471,3,Absoluto,0.1,51,40
data/X3.txt,0,7.9704e-05,2.26418e+08,65,Relativo,0.001,51,910
data/X3.txt,0,8.11429e-05,2.1846e+08,28,Relativo,0.01,51,390
data/X3.txt,0,8.07095e-05,2.20812e+08,27,Relativo,0.1,51,370
data/X3.txt,nan,-nan,nan,100,Absoluto,0.001,30,8710
data/X3.txt,2.96895e+204,-0.0178859,4460.54,10,Absoluto,0.01,30,940
data/X3.txt,275916,-0.255563,19.4554,3,Absoluto,0.1,30,270
data/X3.txt,nan,-nan,nan,100,Relativo,0.001,30,8740
data/X3.txt,nan,-nan,nan,100,Relativo,0.01,30,8680
